dari,ke,menit
kantin-pusat,gedung-a,3
kantin-pusat,gedung-b,5
kantin-pusat,kedai-kopi,2
kantin-pusat,perpustakaan,6
kafe-teknik,gedung-b,2
kafe-teknik,gedung-c,4
kafe-teknik,kedai-kopi,3
warung-bu-ida,gedung-c,3
warung-bu-ida,asrama,7
warung-bu-ida,pos-satpam,4
kedai-kopi,perpustakaan,4
kedai-kopi,gedung-a,4
kantin-asrama,asrama,2
kantin-asrama,gedung-c,6
kantin-asrama,pos-satpam,5
bakso-pak-yon,gedung-a,5
bakso-pak-yon,perpustakaan,3
bakso-pak-yon,gedung-b,6
gedung-b,gedung-c,3
gedung-c,asrama,5
perpustakaan,gedung-b,4
asrama,pos-satpam,3
